"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1552",-1.1832125,0.62122893,1.6359264,-0.0376399,0.3338197,0.5011183,1.459029,1.9459374,-0.70368475,-0.74783325
"4837",-0.12408322,-0.34436682,-1.4357913,1.026398,1.3641336,0.5880269,0.6231842,0.9977518,0.41855034,0.0907283
"25956",-0.22703648,0.17952561,-1.1106042,-0.107430294,-1.0438364,0.16628444,0.86794037,0.17978317,-0.99155486,0.46360403
"22675",0.8866696,0.19657677,-1.1569036,-0.8328031,2.135712,0.49764526,0.5240883,-0.64011043,0.33871648,-1.0493902
"7619",1.1195455,0.021619081,-1.2175052,0.37530375,0.21471867,-0.45961028,0.49167234,0.7782267,0.2492707,-1.2477443
"5085",-0.2969352,-0.63769555,2.0941992,0.5914174,-0.16775088,-0.040454686,-0.8393717,-0.24767107,-0.39094454,-1.2657355
"11719",0.05694914,-0.78631306,-0.9387349,0.34992248,-0.5236145,0.43801272,0.7934203,-0.19800681,-0.8326223,-0.42604065
"17874",-1.546268,-0.53290147,2.2632673,0.22359812,-1.5831561,-0.14793932,-0.53352785,-0.61697143,1.1855478,0.2161494
"3138",-0.034109414,-1.4735028,-0.1855742,0.32861817,-0.23854755,-0.6817802,1.2490654,1.4876266,1.0253149,0.7348687
"3713",-0.45192063,-0.54489636,-0.9249121,-0.6963731,-1.4146302,-0.5459405,0.05930209,-0.14721447,0.30299577,-0.023164824
"11024",-1.2268424,0.016826808,0.7662662,1.1485789,-0.65886676,-0.004424453,1.2292627,0.8835271,0.85713303,-2.0343642
"6503",-0.41908494,-0.14304313,1.6809797,-0.16637188,0.62840635,0.69869447,-0.792624,0.17211628,0.51119053,-1.4689932
"28665",-0.661521,-0.43272114,1.2949541,2.1513638,1.8006716,-0.9623149,-0.5092735,0.75424397,-0.30058444,1.0023533
"4776",-1.1012747,-0.8818518,-0.27126974,1.4032584,-0.47511488,2.1239843,-2.3676076,1.6573491,-0.059883446,1.4072318
"29816",-1.0092635,-1.7079068,1.4093329,-1.2535893,0.12508419,-1.0522988,-0.44600046,-0.044213414,-0.3052252,-0.5221606
"30494",0.17685682,0.94324553,-0.8801023,-0.32279992,-0.7432263,0.76469266,-0.021909475,0.1619274,-0.59961534,0.31978405
"18942",-1.1629219,-0.062380224,1.9557146,-0.5454509,-1.2268388,0.20614278,-0.026504993,-1.2473724,0.79989517,-0.94812816
"12656",-0.47600535,-0.69659853,-0.35251585,1.6433939,-0.23832847,1.4450494,-1.4731941,1.8349819,-0.490389,1.3574685
"3036",-1.2829756,1.0460143,1.955192,-0.97188497,0.33392388,0.60107374,0.9837314,2.0809097,-1.1270609,-0.22782972
"26778",-1.2524385,-1.6792034,1.013474,0.82816726,0.28828079,0.589213,1.0074046,-0.97963244,-1.3928049,-0.05901724
"30199",-0.56210124,1.2580563,-0.747156,0.24056372,-0.052754804,0.8463062,-0.17004192,-1.1486859,1.0329536,0.4136395
"10634",-1.2840846,-0.71991515,0.53151464,1.1973729,-0.86915153,1.091209,0.72687113,0.35893154,0.08241841,-1.7665273
"23920",0.04524523,-1.0357416,-1.3872968,-0.4493364,-0.2756269,-0.4951936,-1.4775143,-0.55273026,-1.0737914,-0.49070698
"14243",2.807403,1.1699603,1.524153,-0.5642147,2.915828,-0.7205297,-4.4382544,-0.11947566,-2.1899977,1.2986122
"21101",-0.13975033,0.016338587,-0.81519175,0.7437176,-0.4831909,0.9505323,1.0499444,-1.052078,-1.3372339,0.27035677
"26062",0.4508869,1.1991963,-0.9133179,-0.92483604,-0.23884705,0.469298,0.54054916,-0.35667986,0.6775845,0.48075956
"14033",0.49146837,-1.800474,-0.34114453,-1.1265571,0.9164397,0.2675525,-0.21173298,-0.052350342,1.9223917,0.5349176
"11848",0.3218785,-0.009038627,-1.0067176,2.9929342,-1.5924945,-0.18111217,0.91597146,1.2154628,0.6535715,-0.3845642
"28178",2.6406116,-0.7721982,0.5492667,-0.71413946,-1.5109441,0.6791997,-2.3978348,3.1072261,-1.3734107,-0.20392238
"1551",-1.9828761,-0.27881896,0.6584418,0.4702105,-0.27362695,0.38592613,0.605368,1.4331462,-0.185424,-0.7803555
"15339",-0.48440164,0.5378113,-0.19824451,-0.20864335,0.68180513,-0.09341729,-0.077528715,0.79023975,0.20412901,-1.5869972
"26081",0.5201985,-0.016655087,-1.0456116,-0.76872796,-0.13547838,-0.47867066,-0.3990538,-0.48093694,-0.9105425,-0.7648837
"8036",-1.255965,0.2555685,1.0689282,1.9752846,-0.34986436,0.5510074,1.2739123,0.56894064,-0.55061436,-2.2372153
"14974",-0.7613484,-0.7529825,0.069399536,-1.0852213,-0.27625495,-0.247226,0.31584513,-0.04585421,1.8364177,1.7359177
"16745",-0.18292853,-1.2632577,0.40158942,-0.7715162,-0.16996129,-0.43277922,0.80880857,-0.705169,0.69655347,1.9169822
"12797",0.24433446,2.59977,0.94887125,-0.25557554,0.07195333,-0.9556963,-0.06275749,-1.1006691,-0.08390233,-0.7187144
"20213",0.7424318,-0.3420419,-0.44393277,-0.45619857,0.557094,-0.9248638,-0.25036108,-0.39998692,-0.14461446,-0.7800978
"18731",-0.77043426,-1.9236339,-0.36663732,-1.036467,0.60478646,-0.17645448,-0.18961126,-0.35465688,-0.6629381,1.5801485
"789",-0.031394154,0.3301484,-0.7272209,0.35933068,0.4696083,0.31773317,-0.3366328,-0.2465977,-0.26945063,0.012967095
"25125",0.25487673,-1.0218387,-0.12879466,0.2631285,-0.1268406,-1.5145749,-0.13119227,-1.497278,0.13276824,1.3195763
"1143",0.24735963,1.4838897,0.6236218,2.090783,-0.66729844,-0.9798658,0.30000913,-0.19188541,-0.680735,-0.7420122
"15386",-0.76322514,0.21047443,-1.2987707,-0.64350086,-0.48822504,0.41305006,-0.5865402,0.11762607,-0.62064767,0.74856925
